S.No,User_ID,Cust_name,Product_ID,Gender,Age Group,Age,age group name,Marital_Status,State,Zone,Occupation,Product_Category,Orders,Amount
31,1004607,Turumella,P00173342,M,26-35,35,Early Adults,0,Delhi,Central,Govt,Stationery,4,20981
32,1005316,Vernon,P00278642,F,18-25,24,Young,1,Kerala,Southern,Govt,Tupperware,4,20967
33,1000461,Connell,P00142942,M,51-55,52,Pre Seniors Adult,1,Himachal Pradesh,Northern,Healthcare,Stationery,2,20965
34,1000154,Shami,P00306042,F,51-55,53,Pre Seniors Adult,1,Karnataka,Southern,Textile,Footwear & Shoes,4,20965
35,1000749,Flanagan,P00114342,F,36-45,37,Mid Adults,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,2,20963
36,1006040,Pond,P00271242,F,26-35,28,Early Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,1,20960
37,1001284,O'Brian,P00157142,M,46-50,50,Late Mid Adults,0,Karnataka,Southern,Banking,Footwear & Shoes,3,20960
38,1004269,Namrata,P00345242,F,36-45,40,Mid Adults,0,Delhi,Central,Lawyer,Footwear & Shoes,1,20959
39,1001496,Haushalter,P00067942,F,26-35,35,Early Adults,1,Madhya Pradesh,Central,Chemical,Footwear & Shoes,1,20955
40,1003007,Maurice,P00191942,F,36-45,45,Mid Adults,0,Delhi,Central,Banking,Stationery,4,20951.5
41,1004715,Snel,P00217442,F,26-35,35,Early Adults,0,Delhi,Central,Food Processing,Footwear & Shoes,3,20950
42,1000306,Patrick,P00303242,F,18-25,18,Young,0,Maharashtra,Western,Aviation,Tupperware,3,20949
43,1000855,Sung,P00240042,M,18-25,22,Young,0,Delhi,Central,Automobile,Footwear & Shoes,3,20948
44,1001183,Mahima,P00084842,F,36-45,43,Mid Adults,1,Delhi,Central,Aviation,Footwear & Shoes,4,20945
45,1005954,Charlotte,P00156242,F,46-50,48,Late Mid Adults,1,Karnataka,Southern,Automobile,Footwear & Shoes,2,20944
46,1005627,Anubhaw,P00123142,M,26-35,28,Early Adults,0,Delhi,Central,IT Sector,Stationery,1,20943
47,1002165,Black,P00260442,F,26-35,31,Early Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,1,20938
48,1004416,Airdo,P00213742,F,18-25,23,Young,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,2,20933
49,1000850,Bhawna,P00319942,F,36-45,44,Mid Adults,0,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,3,20932
50,1002888,Corey-Lock,P00255842,F,26-35,34,Early Adults,0,Andhra Pradesh,Southern,Automobile,Tupperware,2,20930
51,1001891,Akin,P00192542,F,46-50,46,Late Mid Adults,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,1,20929
52,1001019,Neil,P00259142,F,36-45,43,Mid Adults,1,Delhi,Central,Govt,Footwear & Shoes,2,20928
53,1002306,Lisha,P00084242,M,18-25,21,Young,1,Jharkhand,Eastern,Textile,Footwear & Shoes,3,20925
54,1001179,Amlan,P00208742,M,51-55,54,Pre Seniors Adult,0,Delhi,Central,IT Sector,Footwear & Shoes,3,20920
55,1004957,Inderpreet,P00163442,F,26-35,34,Early Adults,1,Delhi,Central,Healthcare,Footwear & Shoes,1,20914
56,1004079,Fisher,P00284742,F,36-45,44,Mid Adults,1,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,2,20914
57,1002124,Linda,P00369042,F,26-35,29,Early Adults,0,Karnataka,Southern,Retail,Footwear & Shoes,3,20912
58,1004335,Aryan,P00075542,F,36-45,38,Mid Adults,0,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20912
59,1000280,Kajal,P00216042,F,51-55,55,Pre Seniors Adult,0,Delhi,Central,Hospitality,Footwear & Shoes,2,20908
60,1003311,Neola,P00142742,F,26-35,26,Early Adults,1,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20908
61,1004161,Murray,P00345642,F,46-50,46,Late Mid Adults,0,Karnataka,Southern,Retail,Footwear & Shoes,4,20906
62,1005265,Sakshi,P00296242,F,46-50,48,Late Mid Adults,1,Delhi,Central,Banking,Footwear & Shoes,1,
63,1004285,Bhishm,P00315842,M,36-45,38,Mid Adults,0,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,3,20900
64,1005261,Apoorva,P00057942,F,36-45,41,Mid Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,2,
65,1000445,Sukruta,P00114042,F,46-50,47,Late Mid Adults,0,Delhi,Central,Retail,Footwear & Shoes,1,20896
66,1003265,Arti,P00184942,F,26-35,35,Early Adults,0,Uttar Pradesh,Central,Food Processing,Stationery,1,20883
67,1003396,Akshay,P00178242,F,26-35,31,Early Adults,1,Delhi,Central,Textile,Footwear & Shoes,4,20875
68,1002380,Swati,P00124642,F,26-35,26,Early Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,2,20874
69,1002059,Mathew,P00114142,F,36-45,41,Mid Adults,0,Karnataka,Southern,IT Sector,Footwear & Shoes,1,20874
70,1001335,Kushal,P00108942,F,36-45,42,Mid Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,1,20873
71,1004838,Luxemburg,P00062842,F,46-50,49,Late Mid Adults,0,Delhi,Central,Lawyer,Footwear & Shoes,3,20870
72,1001015,Bharat,P00289942,F,36-45,44,Mid Adults,0,Delhi,Central,Chemical,Stationery,2,20867
73,1000549,Sharda,P00113542,F,26-35,31,Early Adults,0,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20865
74,1001954,Steele,P00294542,M,26-35,31,Early Adults,1,Jharkhand,Eastern,IT Sector,Footwear & Shoes,3,20863
75,1001912,Hazel,P00087442,F,26-35,27,Early Adults,0,Bihar,Eastern,Automobile,Tupperware,3,20860
76,1003918,Shariari,P00334242,F,26-35,32,Early Adults,0,Karnataka,Southern,Retail,Footwear & Shoes,3,20855
77,1001896,Brittain,P00117142,M,55+,66,Seniors,0,Uttar Pradesh,Central,Govt,Footwear & Shoes,2,20853
78,1002445,Shiva,P00184042,F,26-35,28,Early Adults,0,Delhi,Central,Aviation,Stationery,4,20852
79,1002279,Noah,P00368342,F,51-55,52,Pre Seniors Adult,0,Karnataka,Southern,Aviation,Footwear & Shoes,4,20850
80,1002898,Kotsonis,P00309242,F,18-25,19,Young,0,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,4,20847
81,1004277,Sanjay,P00315442,F,36-45,45,Mid Adults,1,Delhi,Central,Construction,Footwear & Shoes,2,20840
82,1003576,Alejandro,P00101342,M,51-55,53,Pre Seniors Adult,1,Maharashtra,Western,Aviation,Footwear & Shoes,4,20837
83,1003724,Devendra,P00232442,F,36-45,36,Mid Adults,0,Delhi,Central,Aviation,Footwear & Shoes,2,20833
84,1003384,Sujay,P00033742,F,36-45,41,Mid Adults,1,Delhi,Central,Banking,Footwear & Shoes,4,20819
85,1003051,Moren,P00288342,F,18-25,22,Young,0,Uttar Pradesh,Central,Govt,Tupperware,1,20816
86,1003311,Neola,P00228142,F,26-35,30,Early Adults,1,Karnataka,Southern,Hospitality,Footwear & Shoes,3,20815
87,1004782,Philippe,P00114942,M,46-50,46,Late Mid Adults,1,Karnataka,Southern,Hospitality,Footwear & Shoes,1,20815
88,1003998,Patterson,P00232242,F,46-50,47,Late Mid Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,4,20812
89,1000284,George,P00034742,F,26-35,29,Early Adults,0,Karnataka,Southern,Healthcare,Footwear & Shoes,2,20807
90,1000509,Rohan,P00278042,F,26-35,28,Early Adults,0,Delhi,Central,Banking,Footwear & Shoes,2,20805.45
91,1000838,Divyeshkumar,P00363542,M,51-55,53,Pre Seniors Adult,1,Gujarat,Western,Hospitality,Footwear & Shoes,4,20796
92,1000838,Divyeshkumar,P00363542,M,51-55,53,Pre Seniors Adult,1,Rajasthan,Northern,Hospitality,Footwear & Shoes,2,20796
93,1002060,Lynn,P00351042,M,0-17,15,#N/A,0,Bihar,Eastern,Healthcare,Footwear & Shoes,4,20788
94,1000850,Bhawna,P00324342,M,36-45,40,Mid Adults,1,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20783
95,1005522,Mitch,P00179742,F,26-35,35,Early Adults,1,Delhi,Central,Automobile,Footwear & Shoes,1,20770
96,1005153,Ivan,P00190242,F,26-35,33,Early Adults,1,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20767
97,1002122,Avila,P00161442,F,36-45,40,Mid Adults,0,Karnataka,Southern,Aviation,Footwear & Shoes,1,20767
98,1000984,Ben,P00248142,F,51-55,52,Pre Seniors Adult,0,Madhya Pradesh,Central,IT Sector,Tupperware,2,20757
99,1005220,Amlan,P00209842,F,26-35,27,Early Adults,1,Delhi,Central,Aviation,Footwear & Shoes,2,20752
100,1001202,Diwakar,P00205442,F,36-45,45,Mid Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,2,20752
101,1006014,Sharelle,P00183142,F,46-50,48,Late Mid Adults,0,Karnataka,Southern,Aviation,Footwear & Shoes,4,20751
102,1005111,Amisha,P00177842,F,36-45,38,Mid Adults,0,Uttar Pradesh,Central,Media,Footwear & Shoes,4,20751
103,1004227,William,P00059242,F,26-35,33,Early Adults,1,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20745
104,1001331,Foulston,P00248942,F,46-50,47,Late Mid Adults,1,Uttar Pradesh,Central,Banking,Footwear & Shoes,4,20745
105,1004937,Ferrer,P00112842,F,36-45,40,Mid Adults,1,Uttar Pradesh,Central,Media,Footwear & Shoes,2,20744
106,1005600,Muskan,P00085242,M,46-50,47,Late Mid Adults,0,Haryana,Northern,Automobile,Tupperware,1,20739
107,1000791,Stuart,P00127842,M,36-45,44,Mid Adults,1,Karnataka,Southern,IT Sector,Footwear & Shoes,2,20739
108,1003888,Beth,P00242742,F,46-50,46,Late Mid Adults,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20729
109,1006016,Sauptik,P00183742,F,46-50,50,Late Mid Adults,0,Delhi,Central,Aviation,Footwear & Shoes,4,20714
110,1000604,Pistek,P00304642,F,46-50,49,Late Mid Adults,0,Karnataka,Southern,Healthcare,Footwear & Shoes,4,20712
111,1000173,Muhammed,P00057642,F,26-35,29,Early Adults,1,Uttar Pradesh,Central,Banking,Tupperware,1,20707
112,1004284,Piyam,P00032042,F,51-55,53,Pre Seniors Adult,0,Karnataka,Southern,Healthcare,Footwear & Shoes,1,20705
113,1002994,Hemant,P00000142,F,36-45,42,Mid Adults,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,2,20691
114,1004016,Dowd,P00123842,M,51-55,51,Pre Seniors Adult,1,Uttar Pradesh,Central,Aviation,Furniture,3,20689
115,1005788,Bixby,P00130642,F,26-35,26,Early Adults,1,Karnataka,Southern,Banking,Footwear & Shoes,2,20688
116,1001184,Brandow,P00146342,M,26-35,30,Early Adults,0,Maharashtra,Western,Media,Footwear & Shoes,4,20678
117,1000053,Howell,P00120442,F,26-35,33,Early Adults,1,Karnataka,Southern,Aviation,Footwear & Shoes,4,20677
118,1002511,Ananya,P00148642,M,26-35,34,Early Adults,0,Kerala,Southern,Chemical,Furniture,1,20677
119,1004377,Sibella,P00298942,M,26-35,26,Early Adults,0,Karnataka,Southern,Retail,Footwear & Shoes,3,20676
120,1005481,Wale,P00277642,F,46-50,46,Late Mid Adults,0,Maharashtra,Western,Govt,Furniture,1,20673
121,1003940,Kritika,P00159442,F,36-45,36,Mid Adults,1,Karnataka,Southern,Automobile,Footwear & Shoes,1,20669
122,1000687,Neola,P00344542,M,26-35,26,Early Adults,0,Delhi,Central,Chemical,Tupperware,4,20668
123,1000889,Parth,P00021842,F,46-50,50,Late Mid Adults,1,Delhi,Central,Lawyer,Footwear & Shoes,1,20668
124,1000167,Brooke,P00322142,M,26-35,32,Early Adults,0,Maharashtra,Western,Food Processing,Furniture,2,20666
125,1004972,Barcio,P00249542,F,36-45,38,Mid Adults,0,Karnataka,Southern,Banking,Footwear & Shoes,3,20665
126,1003094,Pelletier,P00223642,F,36-45,41,Mid Adults,1,Karnataka,Southern,Retail,Footwear & Shoes,1,20664
127,1000157,Michelle,P00117842,F,36-45,43,Mid Adults,0,Karnataka,Southern,Automobile,Footwear & Shoes,3,20661
128,1001015,Bharat,P00109842,M,36-45,40,Mid Adults,0,Delhi,Central,Food Processing,Footwear & Shoes,3,20660
129,1003468,Divyansh,P00059442,F,26-35,26,Early Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,2,20659
130,1002251,Raglin,P00337442,F,36-45,36,Mid Adults,1,Delhi,Central,Media,Footwear & Shoes,1,20659
131,1005014,Kajal,P00122442,F,46-50,50,Late Mid Adults,0,Karnataka,Southern,IT Sector,Tupperware,1,20659
132,1003085,Natalie,P00267542,F,26-35,32,Early Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,4,20657
133,1004112,Mrunal,P00190242,F,46-50,47,Late Mid Adults,1,Delhi,Central,Hospitality,Footwear & Shoes,3,20654
134,1002592,Nikita,P00356842,F,51-55,51,Pre Seniors Adult,0,Maharashtra,Western,Media,Tupperware,2,20644
135,1001298,Siddharth,P00349142,F,36-45,36,Mid Adults,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,1,20642
136,1002537,Cindy,P00359242,M,36-45,42,Mid Adults,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,4,20641
137,1005538,Kartik,P00269542,F,46-50,49,Late Mid Adults,1,Karnataka,Southern,Banking,Footwear & Shoes,1,
138,1000971,Savi,P00016542,F,26-35,32,Early Adults,1,Uttar Pradesh,Central,Retail,Footwear & Shoes,1,20628
139,1001103,Yaanvi,P00334242,M,46-50,48,Late Mid Adults,0,Delhi,Central,IT Sector,Tupperware,1,20627
140,1003081,Kalyani,P00218642,F,26-35,32,Early Adults,0,Uttarakhand,Central,Food Processing,Furniture,1,20623
141,1002164,McCrossin,P00110942,M,36-45,41,Mid Adults,0,Himachal Pradesh,Northern,Banking,Furniture,4,20622
142,1003635,Calhoun,P00273042,F,51-55,54,Pre Seniors Adult,0,Delhi,Central,Retail,Footwear & Shoes,4,20620
143,1001030,Selesnick,P00162442,F,26-35,33,Early Adults,0,Karnataka,Southern,Chemical,Footwear & Shoes,4,20619
144,1001029,Parakh,P00317842,F,26-35,30,Early Adults,0,Karnataka,Southern,Lawyer,Footwear & Shoes,3,20615
145,1003311,Neola,P00180442,F,26-35,29,Early Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,3,20608
146,1003416,Vaibhavi,P00100642,F,26-35,27,Early Adults,1,Uttarakhand,Central,Media,Furniture,4,20608
147,1004573,Cari,P00071442,M,51-55,51,Pre Seniors Adult,1,Haryana,Northern,Aviation,Furniture,4,20607
148,1004179,Sink,P00100842,M,36-45,43,Mid Adults,1,Karnataka,Southern,Textile,Furniture,1,20607
149,1005661,Geld,P00148042,M,26-35,31,Early Adults,0,Maharashtra,Western,Healthcare,Tupperware,1,20606
150,1001736,Martinez,P00227942,M,55+,72,Seniors,1,Uttar Pradesh,Central,Textile,Footwear & Shoes,2,20603
151,1003401,Ameesha,P00120342,F,36-45,39,Mid Adults,0,Maharashtra,Western,IT Sector,Footwear & Shoes,2,20602
152,1001835,Jamie,P00180642,F,26-35,31,Early Adults,0,Karnataka,Southern,Aviation,Footwear & Shoes,4,20600
153,1002899,McCarthy,P00193642,M,36-45,42,Mid Adults,1,Karnataka,Southern,Automobile,Footwear & Shoes,1,20600
154,1002860,Chad,P00033942,F,36-45,40,Mid Adults,0,Delhi,Central,IT Sector,Footwear & Shoes,1,20598
155,1004362,Prichep,P00015742,F,26-35,26,Early Adults,1,Karnataka,Southern,Chemical,Footwear & Shoes,3,20598
156,1001147,Lanier,P00296642,F,26-35,27,Early Adults,0,Kerala,Southern,IT Sector,Tupperware,3,20598
157,1004953,Sukrith,P00015542,F,36-45,39,Mid Adults,0,Kerala,Southern,Healthcare,Furniture,3,20595.99
158,1005884,Elliston,P00112542,F,18-25,25,Young,1,Kerala,Southern,Banking,Furniture,2,20594
159,1002765,Bergman,P00127942,F,51-55,55,Pre Seniors Adult,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,2,20589
160,1005140,Arthur,P00157642,F,26-35,29,Early Adults,0,Delhi,Central,Healthcare,Footwear & Shoes,1,20588
161,1004161,Murray,P00265242,F,46-50,50,Late Mid Adults,1,Uttar Pradesh,Central,Banking,Furniture,1,20588
162,1003697,Toch,P00250342,F,26-35,30,Early Adults,0,Delhi,Central,Banking,Footwear & Shoes,4,20586
163,1002041,Dahlen,P00115142,M,26-35,31,Early Adults,1,Madhya Pradesh,Central,Banking,Furniture,3,20586
164,1003726,Randy,P00274042,F,26-35,34,Early Adults,1,Karnataka,Southern,Lawyer,Footwear & Shoes,2,20581
165,1001803,Pradeep,P00249642,F,26-35,33,Early Adults,1,Maharashtra,Western,Chemical,Footwear & Shoes,2,20579
166,1005814,Aayushi,P00113442,M,26-35,30,Early Adults,1,Karnataka,Southern,IT Sector,Furniture,4,20573
167,1004901,Aparajita,P00120242,F,26-35,29,Early Adults,0,Delhi,Central,Banking,Footwear & Shoes,4,20572
168,1003958,Arsheen,P0096942,F,46-50,49,Late Mid Adults,0,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20570
169,1003563,Becky,P00249842,F,26-35,34,Early Adults,0,Kerala,Southern,Healthcare,Furniture,4,20570
170,1002793,Aniket,P00207742,F,36-45,42,Mid Adults,1,Maharashtra,Western,Govt,Tupperware,3,20569
171,1003283,Gute,P00233542,M,36-45,38,Mid Adults,1,Delhi,Central,Textile,Footwear & Shoes,3,20566
172,1001941,Gopal,P00184942,M,36-45,26,Early Adults,1,Delhi,Central,Chemical,Footwear & Shoes,4,20559
173,1004279,Soumya,P00032142,F,26-35,28,Early Adults,1,Uttar Pradesh,Central,Banking,Furniture,1,20558
174,1001181,Cathy,P00278642,F,36-45,40,Mid Adults,1,Delhi,Central,Media,Footwear & Shoes,1,20553
175,1003211,Jason,P00211242,M,51-55,54,Pre Seniors Adult,0,Gujarat,Western,Construction,Furniture,4,20550
176,1000216,Gjertsen,P00323042,F,46-50,47,Late Mid Adults,1,Delhi,Central,Aviation,Footwear & Shoes,2,20549
177,1003618,Keshav,P00233442,M,18-25,19,Young,0,Bihar,Eastern,Aviation,Footwear & Shoes,2,20548
178,1004354,Zydlo,P00153142,F,36-45,41,Mid Adults,0,Delhi,Central,Govt,Footwear & Shoes,3,20547
179,1000793,Staavos,P00068042,M,36-45,41,Mid Adults,0,Karnataka,Southern,Healthcare,Furniture,1,20546
180,1003690,Fein,P0099242,F,18-25,24,Young,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,4,20544
181,1004122,Aastha,P00118142,F,18-25,23,Young,0,Kerala,Southern,Hospitality,Furniture,1,20543
182,1003503,Lloyd,P00344842,F,18-25,25,Young,0,Madhya Pradesh,Central,Govt,Furniture,3,20540
183,1002852,Harshita,P00123142,F,26-35,29,Early Adults,0,Delhi,Central,Media,Footwear & Shoes,2,20537
184,1001004,Kirkland,P00036342,M,26-35,34,Early Adults,0,Delhi,Central,Retail,Footwear & Shoes,1,20536
185,1000390,Trafton,P00319042,M,26-35,29,Early Adults,0,Haryana,Northern,Automobile,Footwear & Shoes,4,20536
186,1003099,Shahid,P00127542,F,26-35,26,Early Adults,0,Karnataka,Southern,Aviation,Footwear & Shoes,2,20536
187,1002201,Dodson,P00127642,F,55+,83,Seniors,1,Madhya Pradesh,Central,Govt,Furniture,1,20533
188,1002271,Redmond,P00193542,F,51-55,55,Pre Seniors Adult,0,Gujarat,Western,Aviation,Tupperware,1,20529
189,1004327,Payne,P00153842,F,36-45,37,Mid Adults,1,Karnataka,Southern,IT Sector,Footwear & Shoes,4,20525
190,1001835,Jamie,P00304942,F,26-35,34,Early Adults,1,Delhi,Central,Chemical,Footwear & Shoes,4,20516
191,1003475,Cousins,P00227942,M,26-35,29,Early Adults,1,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,4,20515
192,1001613,Eva,P00173342,F,18-25,23,Young,1,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,1,20512
193,1005680,Mary,P00277642,F,51-55,51,Pre Seniors Adult,1,Delhi,Central,Food Processing,Footwear & Shoes,1,20511
194,1004979,Kennedy,P00346042,F,36-45,39,Mid Adults,1,Karnataka,Southern,Media,Footwear & Shoes,1,20509
195,1004819,Swetha,P00269642,F,36-45,41,Mid Adults,1,Delhi,Central,Automobile,Footwear & Shoes,1,20508
196,1003580,Maxwell,P00018042,M,18-25,20,Young,1,Telangana,Southern,Healthcare,Footwear & Shoes,1,20508
197,1001861,Eno,P00295842,F,51-55,52,Pre Seniors Adult,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,2,20508
198,1001618,Eugene,P00109742,M,51-55,53,Pre Seniors Adult,0,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,4,20505
199,1002330,Sumeet,P00129842,F,46-50,48,Late Mid Adults,0,Delhi,Central,Aviation,Footwear & Shoes,4,20503
200,1004013,Michelle,P00182242,F,26-35,31,Early Adults,1,Karnataka,Southern,Chemical,Footwear & Shoes,2,20502
201,1005178,Edelman,P00346142,F,51-55,55,Pre Seniors Adult,0,Karnataka,Southern,Healthcare,Footwear & Shoes,3,20502
202,1001162,Rose,P00057742,M,36-45,40,Mid Adults,1,Karnataka,Southern,Banking,Footwear & Shoes,4,20501
203,1004680,Ballard,P00215542,F,36-45,45,Mid Adults,0,Delhi,Central,Textile,Footwear & Shoes,1,20500
204,1005108,Erica,P00158742,M,26-35,26,Early Adults,0,Himachal Pradesh,Northern,Aviation,Furniture,4,20495
205,1005446,Sheetal,P00059442,M,51-55,52,Pre Seniors Adult,0,Karnataka,Southern,Chemical,Furniture,1,20494
206,1002181,Sweta,P00363342,F,26-35,27,Early Adults,1,Karnataka,Southern,Banking,Footwear & Shoes,1,20493
207,1004485,Jim,P00339842,F,26-35,35,Early Adults,0,Kerala,Southern,Media,Furniture,2,20492
208,1006040,Pond,P00111142,F,26-35,27,Early Adults,0,Karnataka,Southern,Food Processing,Footwear & Shoes,2,20488
209,1003272,Pinky,P00324642,M,36-45,42,Mid Adults,1,Delhi,Central,IT Sector,Footwear & Shoes,2,20486
210,1001757,Eleni,P0095542,F,26-35,28,Early Adults,1,Karnataka,Southern,Textile,Footwear & Shoes,1,20486
211,1001969,Klamczynski,P00160042,M,26-35,28,Early Adults,0,Delhi,Central,Chemical,Footwear & Shoes,1,20484
212,1003694,Bellavance,P00115942,F,26-35,35,Early Adults,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,4,20483
213,1004436,Talbott,P0096542,F,26-35,28,Early Adults,0,Kerala,Southern,Retail,Tupperware,2,20477
214,1001260,Dheeraj,P00274042,F,26-35,35,Early Adults,1,Madhya Pradesh,Central,Aviation,Footwear & Shoes,3,20477
215,1004064,Skach,P0097142,F,46-50,48,Late Mid Adults,0,Delhi,Central,Banking,Footwear & Shoes,2,20476
216,1004829,Gary,P00146042,F,26-35,28,Early Adults,0,Karnataka,Southern,IT Sector,Footwear & Shoes,3,20471
217,1000549,Sharda,P00147042,F,26-35,26,Early Adults,0,Kerala,Southern,Banking,Furniture,1,20469
218,1003245,Zeldin,P00351242,F,18-25,21,Young,0,Uttarakhand,Central,Govt,Furniture,1,20468
219,1005137,Murdock,P00187342,F,18-25,19,Young,1,Haryana,Northern,Automobile,Tupperware,2,20464
220,1003259,Wardle,P00054242,M,18-25,20,Young,0,Himachal Pradesh,Northern,Healthcare,Furniture,2,20463
221,1003503,Lloyd,P00241642,M,18-25,25,Young,1,Madhya Pradesh,Central,Aviation,Furniture,1,20457
222,1002068,Dhanraj,P00172842,M,36-45,39,Mid Adults,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,3,20457
223,1002067,Suhani,P00199442,F,51-55,52,Pre Seniors Adult,1,Delhi,Central,Construction,Footwear & Shoes,2,20454
224,1003825,Staebel,P00014542,F,18-25,20,Young,0,Delhi,Central,Aviation,Footwear & Shoes,1,20450
225,1000942,Syed,P00214142,M,51-55,52,Pre Seniors Adult,1,Uttar Pradesh,Central,Lawyer,Furniture,3,20448
226,1001456,Lonsdale,P00182242,M,26-35,34,Early Adults,0,Uttar Pradesh,Central,Textile,Footwear & Shoes,1,20445
